time:100, state_pair:((8, 29), (31, 20)), next_state:(8, 29), n:2, dest:29, env.nlinks[n]:2, action:1
time:101, state_pair:((8, 29), (31, 20)), current_state:(31, 20), n:31, dest:20, env.nlinks[n]:2, action:0
time:101, state_pair:((30, 20), (3, 18)), next_state:(30, 20), n:31, dest:20, env.nlinks[n]:2, action:0
time:102, state_pair:((30, 20), (3, 18)), current_state:(3, 18), n:3, dest:18, env.nlinks[n]:2, action:1
time:102, state_pair:((9, 18), (15, 17)), next_state:(9, 18), n:3, dest:18, env.nlinks[n]:2, action:1
time:103, state_pair:((9, 18), (15, 17)), current_state:(15, 17), n:15, dest:17, env.nlinks[n]:3, action:1
time:103, state_pair:((16, 17), (29, 34)), next_state:(16, 17), n:15, dest:17, env.nlinks[n]:3, action:1
time:104, state_pair:((16, 17), (29, 34)), current_state:(29, 34), n:29, dest:34, env.nlinks[n]:2, action:1
time:104, state_pair:((35, 34), (34, 33)), next_state:(35, 34), n:29, dest:34, env.nlinks[n]:2, action:1
time:105, state_pair:((35, 34), (34, 33)), current_state:(34, 33), n:34, dest:33, env.nlinks[n]:2, action:0
time:105, state_pair:((34, 33), (35, 34)), next_state:(34, 33), n:34, dest:33, env.nlinks[n]:2, action:0
time:106, state_pair:((34, 33), (35, 34)), current_state:(35, 34), n:35, dest:34, env.nlinks[n]:2, action:0
time:106, state_pair:((35, 34), (13, 7)), next_state:(35, 34), n:35, dest:34, env.nlinks[n]:2, action:0
time:107, state_pair:((35, 34), (13, 7)), current_state:(13, 7), n:13, dest:7, env.nlinks[n]:4, action:1
time:107, state_pair:((13, 7), (8, 29)), next_state:(13, 7), n:13, dest:7, env.nlinks[n]:4, action:1
time:108, state_pair:((13, 7), (8, 29)), current_state:(8, 29), n:8, dest:29, env.nlinks[n]:3, action:2
time:108, state_pair:((14, 29), (9, 18)), next_state:(14, 29), n:8, dest:29, env.nlinks[n]:3, action:2
time:109, state_pair:((14, 29), (9, 18)), current_state:(9, 18), n:9, dest:18, env.nlinks[n]:3, action:2
time:109, state_pair:((15, 18), (16, 17)), next_state:(15, 18), n:9, dest:18, env.nlinks[n]:3, action:2
time:110, state_pair:((15, 18), (16, 17)), current_state:(16, 17), n:16, dest:17, env.nlinks[n]:4, action:2
time:110, state_pair:((16, 17), (35, 34)), next_state:(16, 17), n:16, dest:17, env.nlinks[n]:4, action:2
time:111, state_pair:((16, 17), (35, 34)), current_state:(35, 34), n:35, dest:34, env.nlinks[n]:2, action:0
time:111, state_pair:((35, 34), (14, 29)), next_state:(35, 34), n:35, dest:34, env.nlinks[n]:2, action:0
time:112, state_pair:((35, 34), (14, 29)), current_state:(14, 29), n:14, dest:29, env.nlinks[n]:3, action:2
time:112, state_pair:((20, 29), (30, 20)), next_state:(20, 29), n:14, dest:29, env.nlinks[n]:3, action:2
time:113, state_pair:((20, 29), (30, 20)), current_state:(30, 20), n:30, dest:20, env.nlinks[n]:2, action:0
time:113, state_pair:((24, 20), (10, 11)), next_state:(24, 20), n:30, dest:20, env.nlinks[n]:2, action:0
time:114, state_pair:((24, 20), (10, 11)), current_state:(10, 11), n:10, dest:11, env.nlinks[n]:4, action:2
time:114, state_pair:((10, 11), (15, 18)), next_state:(10, 11), n:10, dest:11, env.nlinks[n]:4, action:2
time:115, state_pair:((10, 11), (15, 18)), current_state:(15, 18), n:15, dest:18, env.nlinks[n]:3, action:2
